,Name,ATP Ranking,Aces ,Winners,Tie Breaks Won,Point Dominance,Points Per Return Game,Rank Band,Reduced Dimension 1,Reduced Dimension 2
55,Marc Andrea Huesler,56,168,435,8,0.984,0.0,51 to 60,-0.5636223867043711,1.1889754919746292
56,Pedro Cachin,57,0,0,0,0.0,0.0,51 to 60,-3.4338896703945325,1.340478747435089
57,Jaume Munar,58,126,329,4,1.001,6.735,51 to 60,-0.5108586136462494,-1.0247460018128456
58,Aslan Karatsev,59,209,682,9,0.946,6.53,51 to 60,0.6365563662055983,-0.36736634259405904
59,Benjamin Bonzi,60,218,387,8,1.039,6.415,51 to 60,0.1474663241575601,-0.6202260080654998
60,Marcos Giron,61,209,576,10,0.943,0.0,61 to 70,-0.09572119842513713,1.4652903542092413
61,Pedro Martinez Portero,62,87,240,8,0.976,6.616,61 to 70,-0.5316743390577143,-0.9933779208557065
62,Mackenzie Mcdonald,63,245,587,12,0.999,6.294,61 to 70,0.8151743802914613,-0.24876032348008723
63,Quentin Halys,64,85,0,0,0.941,6.754,61 to 70,-1.5656080821479252,-1.3740805295663134
64,Constant Lestienne,65,0,197,0,0.0,6.38,61 to 70,-2.4835444025192324,-0.36206670560499704
65,Jeffrey John Wolf,66,146,445,5,0.96,6.369,61 to 70,-0.2523994435214051,-0.733914662263265
66,Daniel Elahi Galan Riveros,67,0,145,0,0.988,6.286,61 to 70,-1.5362806241480227,-1.3881392167879876
67,Richard Gasquet,68,171,298,11,1.008,6.686,61 to 70,0.06279501871766006,-0.7400475242752081
68,Mikael Ymer,69,0,445,4,1.061,6.68,61 to 70,-0.5960288645050172,-1.2790150883929956
69,Laslo Djere,70,235,597,7,0.961,6.321,61 to 70,0.4097145520912229,-0.37410863088250995
70,Thiago Monteiro,71,171,267,5,0.994,0.0,71 to 80,-1.061470272264044,0.9974564496723061
71,Bernabe Zapata Miralles,72,0,0,0,0.0,0.0,71 to 80,-3.4338896703945325,1.340478747435089
72,Ilya Ivashka,73,157,420,7,0.957,6.294,71 to 80,-0.1337492282542119,-0.644012600664818
73,Roberto Carballes Baena,74,0,0,6,0.0,0.0,71 to 80,-3.004734426591966,1.5095340591097928
74,Federico Coria,75,0,0,0,0.985,6.447,71 to 80,-1.785332765193036,-1.520224878645086
75,Oscar Otte,76,282,380,12,1.027,6.375,71 to 80,0.5835361711532212,-0.3461157690459904
76,Kamil Majchrzak,77,130,0,6,1.085,6.349,71 to 80,-0.8954080609578025,-1.1383056717289328
77,Christopher Oconnell,78,130,264,8,0.97,6.678,71 to 80,-0.3687776031979193,-0.8948181168674115
78,Tomas Martin Etcheverry,79,0,0,0,0.0,0.0,71 to 80,-3.4338896703945325,1.340478747435089
79,Dusan Lajovic,80,105,149,6,0.0,6.475,71 to 80,-1.838136921480711,-0.01691620984349055
80,Jiri Lehecka,81,95,181,0,0.0,0.0,81 to 90,-2.842440712343024,1.6623797861146694
81,Joao Sousa,82,99,0,6,0.96,6.684,81 to 90,-1.0836396444525958,-1.173614465943881
82,Soon Woo Kwon,83,166,314,8,0.965,0.0,81 to 90,-0.8071206640026465,1.1297692756347966
83,Jordan Thompson,84,148,176,0,0.0,0.0,81 to 90,-2.70316502088672,1.7767970638314992
84,Christian Garin,85,0,144,5,0.0,6.501,81 to 90,-2.2099781185292704,-0.2883657211953858
85,Ugo Humbert,86,118,212,6,0.0,6.612,81 to 90,-1.6756152605666192,0.011482475781778079
86,Marton Fucsovics,87,93,258,5,0.965,6.507,81 to 90,-0.7189448505598882,-1.011011812915567
87,Roman Safiullin,88,118,155,4,1.089,6.882,81 to 90,-0.7391050484637062,-1.2824337376389432
88,Facundo Bagnis,89,109,0,0,0.966,6.313,81 to 90,-1.513095441409788,-1.2206534498054606
89,Gregoire Barrere,90,0,0,0,0.0,0.0,81 to 90,-3.4338896703945325,1.340478747435089
90,Nikoloz Basilashvili,91,113,341,9,0.0,0.0,91 to 100,-1.8604592110481688,2.0542544472093245
91,Taro Daniel,92,127,297,7,0.953,6.307,91 to 100,-0.4420291828436968,-0.7857363479884067
92,Thanasi Kokkinakis,93,270,415,11,1.017,6.34,91 to 100,0.5275230935790505,-0.35903284587996476
93,Daniel Altmaier,94,158,211,3,0.0,0.0,91 to 100,-2.3976351152615765,1.905015552301311
94,Tallon Griekspoor,95,221,470,12,0.948,6.481,91 to 100,0.5007963972287541,-0.3746622290536399
95,Ben Shelton,96,0,155,0,0.0,0.0,91 to 100,-3.1549942955734105,1.4357928732170147
96,Tomas Machac,97,0,0,0,0.985,0.0,91 to 100,-2.387468663826699,0.32261332169633233
97,Vasek Pospisil,98,0,0,0,0.0,0.0,91 to 100,-3.4338896703945325,1.340478747435089
98,Zhizhen Zhang,99,0,0,0,0.0,0.0,91 to 100,-3.4338896703945325,1.340478747435089
99,Alejandro Tabilo,100,125,0,4,1.004,6.628,91 to 100,-1.1124406293683313,-1.2017895068906888
